id|first_name|last_name|email|city|state|zip|latittude|longitude|abilities|seeking
43|Bud|Fritsch|Rod_Lang@hotmail.com|Clinton|MT|85249|-113.7126|46.76909|{"trombone":"expert","flute":"expert"}|{cello}
44|Delmer|Corkery|Luther.Herman20@hotmail.com|Calera|AL|61160|-86.7536|33.1029|{"trombone":"beginner","oboe":"intermediate"}|{vocals,bass,guitar}
45|Brice|Nader|Treva57@gmail.com|Altamont|IL|50725|-88.74811|39.06199|{"guitar":"beginner"}|{trombone,tambourine,fiddle}
46|Georgiana|Gottlieb|Mabelle61@yahoo.com|New Fairfield|CT|50860|-73.48568|41.46648|{"cello":"expert"}|{piano}
47|Rosalee|Sawayn|Keyon99@hotmail.com|Palmetto Estates|FL|66457|-80.362|25.62149|{"saxophone":"beginner","xylophone":"expert","tambourine":"expert"}|{triangle,cello,french horn}
48|Declan|VonRueden|Mohamed.Kirlin@gmail.com|Independence|WI|36800|-91.42043|44.35691|{"trumpet":"expert"}|{cello,clarinet}
49|Larry|Kuhlman|Chelsea_Spinka@hotmail.com|Bunk Foss|WA|71900|-122.09441|47.96171|{"drums":"expert","bass":"beginner","oboe":"beginner"}|{cello,vocals}
50|Pearline|Fahey|Mariah_Tromp78@gmail.com|Clayton|CA|17764|-121.93579|37.94103|{"fiddle":"beginner","violin":"beginner"}|{banjo}
51|Russel|Harvey|Gloria_Lakin38@yahoo.com|Avon Park|FL|62074|-81.50619|27.59587|{"violin":"expert","bass":"expert","fiddle":"intermediate"}|{clarinet}
52|Liana|Strosin|Bennett.Lesch@yahoo.com|Marrero|LA|66093|-90.10035|29.89937|{"cello":"beginner","flute":"beginner"}|{drums}
53|Lavada|Beahan|Orie_DuBuque@hotmail.com|South Euclid|OH|73264|-81.51846|41.52311|{"vocals":"expert","flute":"expert","triangle":"beginner"}|{violin,tambourine}
54|Rusty|Nader|Troy_Sporer@yahoo.com|Wrightsville Beach|NC|91404|-77.79637|34.2085|{"saxophone":"beginner","trombone":"beginner","guitar":"intermediate"}|{vocals}
55|Lessie|Hand|Andy17@gmail.com|Los Alamos|CA|87743|-120.27821|34.74443|{"triangle":"expert","cello":"intermediate"}|{bass}
56|Olaf|Jerde|Gonzalo.Batz98@hotmail.com|Amesti|CA|34368|-121.77912|36.96356|{"fiddle":"expert","flute":"beginner","violin":"expert"}|{guitar}
57|Clyde|Rosenbaum|Laurence39@hotmail.com|Port Charlotte|FL|34763|-82.09064|26.97617|{"triangle":"intermediate","cello":"intermediate"}|{trumpet,french horn,fiddle}
58|Tatyana|Adams|Kiara.West53@gmail.com|Downey|CA|94292|-118.13257|33.94001|{"trombone":"intermediate"}|{flute}
59|Adella|Breitenberg|Matilde48@gmail.com|Bel-Nor|MO|52814|-90.31678|38.702|{"drums":"intermediate"}|{french horn}
60|Kevin|Hettinger|Jazlyn50@yahoo.com|Metropolis|IL|34229|-88.732|37.15117|{"oboe":"expert","trumpet":"intermediate","flute":"intermediate"}|{banjo}
61|Jarrell|Tremblay|Zoe24@hotmail.com|Ocilla|GA|42673|-83.2513|31.59447|{"clarinet":"intermediate"}|{tambourine,saxophone}
62|Jerod|Morissette|Elinor_Prosacco8@yahoo.com|Gueydan|LA|51426|-92.50847|30.02604|{"oboe":"intermediate","guitar":"expert","cello":"expert"}|{violin,drums,vocals}
63|Annabell|Paucek|Jude_Bayer7@yahoo.com|Sunrise Lake|PA|19272|-74.96656|41.30981|{"xylophone":"intermediate"}|{saxophone,banjo}
64|Jarred|Dicki|Efrain_Murazik@hotmail.com|Fergus Falls|MN|20906|-96.07756|46.28302|{"xylophone":"expert","trombone":"expert"}|{guitar}
65|Vergie|Blanda|Susan_McKenzie96@hotmail.com|Presidential Lakes Estates|NJ|57510|-74.5646|39.91373|{"saxophone":"intermediate"}|{drums,oboe}
66|Lavina|Senger|Jarrett_Homenick65@yahoo.com|Pelham|NY|57012|-73.80791|40.90982|{"violin":"expert","clarinet":"intermediate"}|{xylophone,vocals}
67|Rodger|Schuppe|Chad_Torphy@hotmail.com|Harveys Lake|PA|18056|-76.02465|41.38341|{"trumpet":"beginner","cello":"expert"}|{french horn,violin,tambourine}
68|William|Effertz|Ricky.OHara@gmail.com|Covington|TN|95866|-89.64647|35.56425|{"flute":"expert"}|{trumpet}
69|Jazmyn|Bayer|Esteban40@gmail.com|Saint Charles|MN|56788|-92.06433|43.96941|{"drums":"intermediate","flute":"beginner"}|{banjo,french horn}
70|Zakary|Gislason|Lazaro53@hotmail.com|Haviland|NY|37209|-73.90152|41.76676|{"saxophone":"beginner","trumpet":"expert","drums":"beginner"}|{vocals}
71|Noemy|Rosenbaum|Hillary.Fritsch@hotmail.com|Ashdown|AR|91935|-94.13131|33.67429|{"flute":"intermediate","trumpet":"expert","fiddle":"expert"}|{triangle}
72|Shana|Grimes|Nathaniel_Cole@gmail.com|Wolf Point|MT|46054|-105.64056|48.09057|{"fiddle":"beginner","xylophone":"intermediate"}|{clarinet,oboe,bass}
73|Raheem|Homenick|Rogelio.Runolfsdottir@gmail.com|Lansing|NY|41234|-76.47994|42.48424|{"trombone":"beginner","xylophone":"beginner"}|{tambourine,saxophone}
74|Euna|Aufderhar|Preston.Crist48@hotmail.com|Ninnekah|OK|53286|-97.92393|34.94785|{"tambourine":"beginner"}|{vocals,cello,bass}
75|Flavie|Grimes|Wilford31@gmail.com|Tecumseh|MI|79120|-83.94494|42.00393|{"oboe":"expert","bass":"intermediate","piano":"intermediate"}|{trumpet}
76|Tia|Jakubowski|Gerard1@gmail.com|Carrollton|KY|68532|-85.1794|38.6809|{"guitar":"beginner","cello":"beginner"}|{drums,xylophone}
77|Fatima|Effertz|Haskell_Daugherty48@gmail.com|Eldridge|IA|93849|-90.58458|41.65809|{"piano":"intermediate"}|{banjo,saxophone}
78|Arnaldo|Green|Albina70@gmail.com|Hempstead|TX|10481|-96.07829|30.09744|{"fiddle":"beginner","vocals":"beginner"}|{banjo}
79|Jacklyn|Ruecker|Corine29@gmail.com|Midway|PA|15632|-77.00276|39.80843|{"banjo":"beginner","oboe":"expert"}|{guitar,bass}
80|Ida|Mohr|Cecil.Hansen@yahoo.com|Granite Falls|WA|77157|-121.96874|48.08399|{"oboe":"intermediate"}|{cello}
81|Aniyah|Reinger|Cheyanne_Wunsch49@gmail.com|Carson City|NV|25534|-119.7674|39.1638|{"trumpet":"expert","piano":"expert"}|{saxophone,cello,xylophone}
82|Georgette|Ondricka|Winfield51@hotmail.com|Oneonta|AL|31962|-86.47276|33.94815|{"saxophone":"beginner","cello":"expert"}|{trumpet,oboe,trombone}
83|Bertram|Oberbrunner|Adonis_McKenzie49@gmail.com|Waynesboro|VA|47512|-78.88947|38.06847|{"trombone":"beginner","oboe":"intermediate","vocals":"beginner"}|{trumpet,flute,cello}
84|Irwin|Spinka|Meggie65@yahoo.com|Center Moriches|NY|10000|-72.78982|40.80038|{"tambourine":"beginner","vocals":"intermediate"}|{flute}
85|Ressie|Simonis|Marcus_Cartwright15@hotmail.com|Murfreesboro|AR|93606|-93.6899|34.06233|{"bass":"intermediate","french horn":"expert","fiddle":"beginner"}|{banjo,piano,vocals}
86|Webster|Sawayn|Elyse8@gmail.com|Doylestown|OH|14240|-81.69652|40.97005|{"cello":"expert","violin":"expert"}|{oboe,banjo}
87|Alberta|Boehm|Jeramy.McLaughlin@gmail.com|Bigfork|MT|81836|-114.07261|48.06329|{"trombone":"intermediate","flute":"beginner"}|{french horn}
88|Marisa|Kutch|Elsie.Wolff20@yahoo.com|Erwinville|LA|40092|-91.40789|30.53102|{"fiddle":"expert"}|{triangle,piano,clarinet}
89|Krista|Pacocha|Annabell.Waters39@yahoo.com|Chenoa|IL|12944|-88.71979|40.7417|{"saxophone":"expert","xylophone":"intermediate"}|{flute,french horn,fiddle}
90|Clifton|Heidenreich|Suzanne44@yahoo.com|Carmel-by-the-Sea|CA|93906|-121.92329|36.55524|{"cello":"beginner","trombone":"intermediate","french horn":"expert"}|{tambourine}
91|Chelsey|Gutmann|Laurianne_Von@gmail.com|Caliente|NV|56980|-114.51194|37.61496|{"fiddle":"expert","trumpet":"beginner","french horn":"expert"}|{xylophone,cello,flute}
92|Ramon|Ortiz|Elizabeth63@yahoo.com|Brookfield|WI|10025|-88.10648|43.06057|{"trombone":"expert"}|{trumpet}
93|Anna|Lebsack|Clifford41@hotmail.com|Yankton|SD|73060|-97.39728|42.87111|{"xylophone":"intermediate","cello":"expert"}|{french horn,violin}
94|Mariah|Rohan|Jess_Wiza@gmail.com|Mansfield Center|MA|38225|-71.21808|42.02262|{"trumpet":"beginner"}|{cello}
95|Missouri|Schoen|Jeff.Ratke66@hotmail.com|Kings Park|NY|68000|-73.25734|40.88621|{"tambourine":"expert"}|{cello}
96|Bobby|Padberg|Elise.Johnston@gmail.com|Harrisonburg|VA|51021|-78.86892|38.44957|{"bass":"beginner","cello":"expert"}|{trombone}
97|Rebeka|Johns|Elenora.Sipes57@yahoo.com|Brightwood|VA|69514|-78.19361|38.42152|{"piano":"beginner","drums":"intermediate"}|{trombone,tambourine,bass}
98|Ricky|Wiegand|Nicklaus_Miller87@gmail.com|Perezville|TX|34973|-98.40057|26.22452|{"violin":"expert","french horn":"expert"}|{tambourine,triangle}
99|Laurel|Predovic|Betsy38@yahoo.com|Woodburn|VA|77663|-77.23605|38.84745|{"vocals":"intermediate","tambourine":"expert","french horn":"beginner"}|{drums}
100|Elmo|Kohler|Litzy.Christiansen@yahoo.com|Pacific Grove|CA|21501|-121.91662|36.61774|{"trumpet":"beginner","bass":"expert","tambourine":"intermediate"}|{saxophone,flute,cello}
101|Laisha|Harber|Cooper_Ferry@yahoo.com|High Point|FL|57533|-82.52468|28.54687|{"bass":"expert","flute":"expert"}|{saxophone,trumpet}
102|Rachael|Cartwright|Dustin.Mayert50@gmail.com|Port Orford|OR|14865|-124.49733|42.74566|{"bass":"intermediate","vocals":"beginner"}|{trombone,violin,clarinet}
103|Eriberto|Christiansen|Abe17@yahoo.com|Fussels Corner|FL|75972|-81.86064|28.05419|{"drums":"beginner"}|{trumpet,triangle,piano}
104|Eldred|Nitzsche|Casandra_Nienow@yahoo.com|Yountville|CA|69678|-122.36081|38.40158|{"violin":"expert","piano":"intermediate"}|{banjo,vocals,bass}
105|Savannah|Hudson|George.Cormier80@hotmail.com|Calera|OK|37680|-96.4286|33.93454|{"xylophone":"intermediate","bass":"expert","tambourine":"beginner"}|{cello,french horn,fiddle}
106|Otho|Torp|Charles_Feil66@hotmail.com|Rock Falls|IL|15651|-89.689|41.77975|{"fiddle":"expert","saxophone":"intermediate","bass":"expert"}|{piano,oboe}
107|Ben|Boyle|Marques5@gmail.com|Allouez|WI|01150|-88.01621|44.47749|{"vocals":"beginner","trombone":"beginner","xylophone":"beginner"}|{violin,clarinet}
108|Caleigh|Lesch|Arch.Berge@gmail.com|Hutchins|TX|47143|-96.71305|32.6493|{"triangle":"expert","fiddle":"intermediate"}|{french horn}
109|Rick|Altenwerth|Robin_Considine@gmail.com|Amelia|LA|30665|-91.10204|29.66632|{"saxophone":"intermediate"}|{fiddle}
110|Sarina|Hackett|Rachel76@gmail.com|East Dubuque|IL|21202|-90.64291|42.49223|{"triangle":"intermediate","guitar":"intermediate"}|{flute}
111|Adah|Bednar|Zander.Kub70@hotmail.com|Monterey|VA|20637|-79.5806|38.41234|{"flute":"intermediate","triangle":"intermediate"}|{french horn}
112|Harrison|Wolf|Tyshawn28@yahoo.com|Toughkenamon|PA|53608|-75.75744|39.8315|{"cello":"beginner","oboe":"beginner","clarinet":"intermediate"}|{drums}
113|Marcella|VonRueden|Demario.Hilpert3@yahoo.com|Rio Grande|NJ|45810|-74.88156|39.01456|{"trombone":"beginner","tambourine":"expert","french horn":"expert"}|{bass,cello}
114|Elinore|Donnelly|Daryl_Swaniawski34@yahoo.com|Lamar|CO|08945|-102.62075|38.08723|{"fiddle":"expert","clarinet":"beginner"}|{xylophone}
115|Richard|Fisher|Jalyn.Kovacek4@gmail.com|East Dundee|IL|21046|-88.27147|42.09891|{"fiddle":"intermediate"}|{drums,cello,clarinet}
116|Margie|Bashirian|Trycia_Osinski73@gmail.com|Hickman|NE|57451|-96.62918|40.62|{"drums":"intermediate","trumpet":"intermediate","tambourine":"intermediate"}|{flute,saxophone}
117|Jalyn|Ritchie|Derrick_Zboncak@yahoo.com|Combine|TX|79456|-96.5086|32.58847|{"violin":"expert"}|{guitar}
118|Gabe|Runolfsson|Dashawn14@gmail.com|Awendaw|SC|55126|-79.61313|33.03767|{"trumpet":"intermediate","oboe":"expert","triangle":"intermediate"}|{tambourine}
119|Katharina|Frami|Cristopher_Dicki87@yahoo.com|Brooksville|FL|91485|-82.38991|28.55554|{"drums":"intermediate","vocals":"intermediate"}|{flute,guitar}
120|Raul|Ruecker|Oran4@yahoo.com|Windsor|IL|82335|-88.59478|39.44087|{"oboe":"expert"}|{banjo}
121|Urban|Hudson|Evie35@yahoo.com|Gamewell|NC|91780|-81.59621|35.8693|{"saxophone":"intermediate"}|{violin}
122|Chadd|Langosh|Zula_Nienow@hotmail.com|Owensville|IN|50706|-87.6878|38.27199|{"flute":"beginner","drums":"expert"}|{cello,trombone}
123|Nikki|Ratke|Yadira.Walter56@hotmail.com|Alpharetta|GA|09769|-84.29409|34.07538|{"oboe":"beginner","triangle":"beginner"}|{piano}
124|Rhoda|Wehner|Eula.Erdman86@gmail.com|Lake Holiday|IL|54248|-88.67209|41.61292|{"vocals":"expert"}|{fiddle}
125|Rodrigo|Cassin|Doug.Lind56@hotmail.com|Springvale|ME|65725|-70.79367|43.46675|{"guitar":"beginner","tambourine":"beginner"}|{oboe,vocals,clarinet}
126|Arjun|Johnson|Keeley_Stoltenberg@hotmail.com|Woodfield|SC|07899|-80.93092|34.05932|{"piano":"beginner","tambourine":"intermediate"}|{trumpet}
127|Heidi|Pfannerstill|Myah26@gmail.com|Supreme|LA|28665|-90.98121|29.85937|{"flute":"intermediate","clarinet":"beginner"}|{drums,piano,cello}
128|Darius|Weimann|Dariana.Emard@gmail.com|Blue Earth|MN|06688|-94.10218|43.63746|{"bass":"beginner","flute":"intermediate"}|{clarinet,guitar,xylophone}
129|Johnathon|West|Hilario_Lakin@hotmail.com|Mamou|LA|60259|-92.4193|30.63381|{"tambourine":"expert","drums":"beginner"}|{fiddle,trombone,guitar}
130|Filomena|Nicolas|Reva_Paucek@gmail.com|Portsmouth|NH|62900|-70.75766|43.07704|{"trombone":"intermediate","piano":"expert"}|{guitar,fiddle}
131|Hipolito|Hodkiewicz|Eveline_Collins@yahoo.com|Colleyville|TX|63611|-97.15501|32.88096|{"violin":"beginner"}|{oboe}
132|Yoshiko|Wyman|Virgie79@hotmail.com|Newcomerstown|OH|59304|-81.60595|40.27229|{"french horn":"expert"}|{trombone,triangle,saxophone}
133|Ines|Moen|Josh_OKeefe83@yahoo.com|Parkwood|CA|31610|-120.04461|36.92689|{"trombone":"intermediate","clarinet":"expert","fiddle":"intermediate"}|{french horn,flute}
134|Sean|Moen|Beau_Bode@hotmail.com|Sesser|IL|30406|-89.05035|38.09172|{"french horn":"expert","saxophone":"beginner"}|{banjo,cello,bass}
135|Jaden|Conn|Estella_Schulist@hotmail.com|Jonesboro|IL|24441|-89.26814|37.45172|{"violin":"intermediate","tambourine":"expert","fiddle":"beginner"}|{trombone,guitar,piano}
136|Kiel|Harvey|Ervin_Zieme36@hotmail.com|Mansfield|OH|36178|-82.51545|40.75839|{"flute":"intermediate","saxophone":"beginner","oboe":"expert"}|{xylophone,trumpet}
137|Katrina|Gutmann|Alvah.Hilpert@gmail.com|Country Club Estates|GA|49872|-81.46427|31.21273|{"flute":"expert"}|{guitar,violin,triangle}
138|Broderick|Marvin|Ansel79@gmail.com|Linton|ND|46980|-100.23289|46.26666|{"clarinet":"beginner"}|{flute,trumpet}
139|Matilda|Bode|Axel.Koepp76@gmail.com|Searingtown|NY|53000|-73.65568|40.77482|{"bass":"intermediate","violin":"expert","drums":"intermediate"}|{guitar,saxophone}
140|Emilio|Conroy|Alison_Kris38@gmail.com|Kapolei|HI|09742|-158.0582|21.33555|{"french horn":"beginner","oboe":"expert"}|{piano}
141|Gerson|Ullrich|Mazie21@yahoo.com|Kurtistown|HI|56081|-155.05722|19.60361|{"tambourine":"intermediate","saxophone":"beginner","banjo":"intermediate"}|{flute}
142|Tamara|Mayer|Kamryn_Ward@yahoo.com|Centre Hall|PA|12376|-77.68611|40.84756|{"drums":"intermediate","flute":"beginner"}|{banjo,vocals,tambourine}
143|Brennan|Beier|Juanita_Mraz35@yahoo.com|Dumas|TX|21459|-101.97324|35.86559|{"banjo":"intermediate","vocals":"beginner"}|{trumpet}
144|Aidan|Erdman|Heaven_Herzog@hotmail.com|Galveston|IN|36846|-86.19027|40.57893|{"triangle":"expert"}|{guitar}
145|Martine|Breitenberg|Shannon76@gmail.com|Wrightsboro|NC|90508|-77.9211|34.2885|{"oboe":"beginner","guitar":"beginner","vocals":"expert"}|{trombone,french horn,saxophone}
146|Gunner|Williamson|Vidal_Corkery@gmail.com|Terrell Hills|TX|07203|-98.45085|29.47495|{"clarinet":"beginner","trombone":"intermediate"}|{tambourine,guitar}
147|Eugenia|Homenick|Lula_Halvorson@yahoo.com|Brownstown|IN|08488|-86.04192|38.87894|{"violin":"intermediate"}|{french horn,drums,oboe}
148|William|Hansen|Dulce.Rau30@gmail.com|Fitzgerald|GA|23826|-83.25265|31.71491|{"flute":"intermediate","fiddle":"expert","guitar":"expert"}|{xylophone}
149|Selmer|Hills|Gwendolyn3@gmail.com|West Point|GA|92788|-85.18327|32.87791|{"bass":"beginner","fiddle":"intermediate"}|{trumpet,flute,french horn}
150|Roderick|Lynch|Madeline.Hahn20@yahoo.com|Collegedale|TN|39811|-85.05023|35.05313|{"clarinet":"intermediate","drums":"beginner"}|{trumpet,french horn,violin}
151|Madilyn|Padberg|Aubrey85@gmail.com|Chamberlayne|VA|56898|-77.42859|37.62653|{"banjo":"intermediate"}|{piano,clarinet,tambourine}
152|Mckayla|Nader|Hunter.Fay74@hotmail.com|Davisboro|GA|77688|-82.60791|32.97904|{"piano":"intermediate","drums":"expert"}|{trombone,tambourine}
153|Elinor|Gaylord|Cleveland81@gmail.com|Mojave|CA|00412|-118.17396|35.05247|{"saxophone":"expert","tambourine":"intermediate"}|{flute}
154|Modesta|Paucek|Chester.Kiehn@gmail.com|River Vale|NJ|63690|-74.01208|40.99538|{"trumpet":"beginner","violin":"beginner","cello":"intermediate"}|{clarinet,french horn,piano}
155|Missouri|Stoltenberg|Annabelle4@yahoo.com|Dakota City|NE|90642|-96.41836|42.41555|{"vocals":"expert"}|{trumpet,xylophone}
156|Ryann|Kuphal|Thelma.Hermiston2@yahoo.com|Albert Lea|MN|00694|-93.36827|43.64801|{"banjo":"expert","vocals":"intermediate","violin":"expert"}|{french horn,guitar}
157|Letitia|Cole|Jamey.Feil57@gmail.com|Suffield Depot|CT|74540|-72.64981|41.98121|{"violin":"expert"}|{banjo,tambourine,bass}
158|Roscoe|Rau|Haylie.Conn0@gmail.com|Port Orange|FL|52778|-80.99561|29.13832|{"saxophone":"beginner"}|{bass}
159|Nettie|Kemmer|Jena_Larson10@gmail.com|Westwood Lake|FL|82075|-80.37283|25.72927|{"piano":"expert"}|{drums,oboe}
160|Bria|Jerde|Ayden.Brekke99@hotmail.com|Tonawanda|NY|74166|-78.88031|43.02033|{"guitar":"beginner"}|{bass}
161|Mason|Cummerata|Anya14@hotmail.com|Montz|LA|58146|-90.46869|30.00687|{"guitar":"beginner","bass":"expert","piano":"intermediate"}|{tambourine}
162|Clementina|Kozey|Lilly92@gmail.com|Charlestown|IN|12142|-85.67024|38.45312|{"banjo":"intermediate","oboe":"intermediate","cello":"expert"}|{vocals,drums,saxophone}
163|Theron|Rempel|Solon.Hilll@hotmail.com|Victoria|KS|73800|-99.1476|38.85279|{"trombone":"beginner","flute":"expert"}|{vocals}
164|Nella|Douglas|Jarrett_Yost@hotmail.com|Crandon Lakes|NJ|29490|-74.83989|41.12426|{"flute":"beginner"}|{guitar,saxophone,bass}
165|Felix|McLaughlin|Lela83@hotmail.com|Lima|OH|43554|-84.10523|40.74255|{"trumpet":"beginner"}|{trombone,drums}
166|Lambert|Schuster|Casey_Howe@gmail.com|Northcliff|TX|95860|-98.22473|29.62106|{"bass":"expert"}|{fiddle}
167|Birdie|Kreiger|Gust0@hotmail.com|Honalo|HI|20810|-155.93194|19.54639|{"violin":"expert"}|{saxophone}
168|Leonard|Mueller|Davonte_Smitham83@gmail.com|Sedona|AZ|40740|-111.76099|34.86974|{"cello":"expert","piano":"expert","triangle":"expert"}|{saxophone,tambourine,bass}
